Country Code,Geo Point,Point 1,Point 2
AFG,"33.838805716206636, 66.0264706677288",33.83880572,66.02647067
ALB,"41.142284823416894, 20.068384605918776",41.14228482,20.06838461
DZA,"28.163239267304466, 2.6323881691928235",28.16323927,2.632388169
AND,"42.548652866178955, 1.5767650843354541",42.54865287,1.576765084
AGO,"-12.295285224744552, 17.54467578636636",-12.29528522,17.54467579
ATG,"17.279817511125948, -61.79123711747739",17.27981751,-61.79123712
ARG,"-35.37643634090832, -65.16772724090075",-35.37643634,-65.16772724
ARM,"40.28661987742086, 44.94682354396964",40.28661988,44.94682354
ABW,"12.515627383711797, -69.97564122076227",12.51562738,-69.97564122
AUS,"-53.09133257559054, 73.49837379726881",-53.09133258,73.4983738
AUT,"47.592902606915196, 14.14019348879525",47.59290261,14.14019349
AZE,"40.29691565933846, 48.81987923035784",40.29691566,48.81987923
BHS,"24.20112648687146, -76.54662153239099",24.20112649,-76.54662153
BHR,"26.022409517037772, 50.55964318352661",26.02240952,50.55964318
BGD,"23.84323245239139, 90.26849814842922",23.84323245,90.26849815
BRB,"13.178715064348594, -59.56195497759968",13.17871506,-59.56195498
BLR,"53.53999776468983, 28.046787741199548",53.53999776,28.04678774
BEL,"50.642851163630354, 4.663989187136802",50.64285116,4.663989187
BLZ,"17.217666254229453, -88.68476698323005",17.21766625,-88.68476698
BEN,"9.647320880659041, 2.3431357641935002",9.647320881,2.343135764
BMU,"32.31608616923679, -64.73960534243399",32.31608617,-64.73960534
BTN,"27.415414485262534, 90.42943482568835",27.41541449,90.42943483
BIH,"44.16811522452033, 17.786530696807308",44.16811522,17.7865307
BWA,"-22.182004075269575, 23.815027616664164",-22.18200408,23.81502762
BRA,"-10.773108522625618, -53.08981995401317",-10.77310852,-53.08981995
BRN,"4.521445183161417, 114.76109927149494",4.521445183,114.7610993
BGR,"42.76137671439208, 25.231506244029507",42.76137671,25.23150624
BFA,"12.27792985050918, -1.7401411318983298",12.27792985,-1.740141132
BDI,"-3.3561748083588876, 29.887145470708866",-3.356174808,29.88714547
KHM,"12.716432209676283, 104.92398131540143",12.71643221,104.9239813
CAN,"61.39201724015714, -98.26532943367175",61.39201724,-98.26532943
CPV,"15.978973266800969, -23.967784574340474",15.97897327,-23.96778457
CAF,"6.571232077104282, 20.4829669203305",6.571232077,20.48296692
TCD,"15.361166539137777, 18.664479714387145",15.36116654,18.66447971
CHL,"-37.85248982134257, -71.37398043999134",-37.85248982,-71.37398044
CHN,"22.183320473366667, 113.55012506352243",22.18332047,113.5501251
COL,"3.901155840147145, -73.07336881924765",3.90115584,-73.07336882
COM,"-11.892754677494572, 43.675919655010965",-11.89275468,43.67591966
COG,"-0.8402315749041122, 15.224293438732685",-0.840231575,15.22429344
CRI,"9.970202813999169, -84.18794179526623",9.970202814,-84.1879418
CIV,"7.631533614372455, -5.555619464120098",7.631533614,-5.555619464
HRV,"45.05116186966242, 16.41177821249749",45.05116187,16.41177821
CUB,"21.62116985457321, -79.03635234345809",21.62116985,-79.03635234
CYP,"35.04588258022155, 33.22176299478318",35.04588258,33.22176299
CZE,"49.74285888947337, 15.338412090068106",49.74285889,15.33841209
PRK,"40.14306377266305, 127.18195650688813",40.14306377,127.1819565
COD,"-2.8762349587831393, 23.655005743753385",-2.876234959,23.65500574
DNK,"74.72091756040572, -41.38950131305342",74.72091756,-41.38950131
DJI,"11.749676118315941, 42.57776505808049",11.74967612,42.57776506
DMA,"15.435595075865715, -61.35575744837549",15.43559508,-61.35575745
DOM,"18.894446925055853, -70.48463350234037",18.89444693,-70.4846335
ECU,"-1.427419765623377, -78.76707226737844",-1.427419766,-78.76707227
EGY,"21.892740179494872, 33.74379108021756",21.89274018,33.74379108
SLV,"13.736897105301775, -88.8665121068615",13.73689711,-88.86651211
GNQ,"1.712338564570087, 10.341982283041126",1.712338565,10.34198228
ERI,"15.373203130370355, 38.84128573461554",15.37320313,38.84128573
EST,"58.67413590786346, 25.527616312014395",58.67413591,25.52761631
ETH,"8.633290652257898, 39.61617576325991",8.633290652,39.61617576
FSM,"6.492380186832999, 159.4042206803221",6.492380187,159.4042207
FJI,"-17.45353047659144, 171.98322667934136",-17.45353048,171.9832267
FIN,"64.50042200031842, 26.266370864887225",64.500422,26.26637086
FRA,"3.924688006784139, -53.241223581974054",3.924688007,-53.24122358
GAB,"-0.5909444841771871, 11.797236422127236",-0.590944484,11.79723642
GMB,"13.452649432760897, -15.386643121225699",13.45264943,-15.38664312
GEO,"42.17631172001709, 43.5174462848815",42.17631172,43.51744628
DEU,"51.1065921857343, 10.393661554752802",51.10659219,10.39366155
GHA,"7.959848413760552, -1.2073013828375054",7.959848414,-1.207301383
GRC,"39.068537201230306, 22.95974634066737",39.0685372,22.95974634
GRD,"12.112925406141057, -61.679380329690545",12.11292541,-61.67938033
GTM,"15.70213512278772, -90.35624226813961",15.70213512,-90.35624227
GIN,"10.438211891180321, -10.941772059364299",10.43821189,-10.94177206
GNB,"12.030308292864975, -14.965216586726699",12.03030829,-14.96521659
GUY,"4.792017594781358, -58.97478101377691",4.792017595,-58.97478101
HTI,"18.9416087033466, -72.6794577401439",18.9416087,-72.67945774
HND,"14.819221744724162, -86.6191461652836",14.81922174,-86.61914617
HUN,"47.16650222537332, 19.413447961183078",47.16650223,19.41344796
ISL,"64.99758837371617, -18.605467191288948",64.99758837,-18.60546719
IND,"28.121239931117458, 94.35043357382652",28.12123993,94.35043357
IDN,"-2.2302140927351948, 117.30042819464305",-2.230214093,117.3004282
IRQ,"33.048024497806466, 43.77213543247138",33.0480245,43.77213543
IRL,"53.1763816282643, -8.150578960214018",53.17638163,-8.15057896
IRN,"32.73946308870451, 54.19776609324849",32.73946309,54.19776609
ISR,"31.358455855223678, 34.965810197715925",31.35845586,34.9658102
ITA,"42.79578239851082, 12.071742970356828",42.7957824,12.07174297
JAM,"18.151418769110276, -77.31901136197915",18.15141877,-77.31901136
JPN,"37.56216157098009, 137.99074452809256",37.56216157,137.9907445
JOR,"31.25331588826589, 36.786730210621045",31.25331589,36.78673021
KAZ,"48.015986428641234, 66.6578248529193",48.01598643,66.65782485
KEN,"0.529561859037324, 37.85802096008018",0.529561859,37.85802096
KIR,"1.8345616000504514, -154.45827063056356",1.8345616,-154.4582706
KWT,"29.340791326705325, 47.590876212822145",29.34079133,47.59087621
KGZ,"41.46505454396532, 74.55559665591913",41.46505454,74.55559666
LAO,"18.502743832231815, 103.7632907781227",18.50274383,103.7632908
LVA,"56.857534437085654, 24.92942396864251",56.85753444,24.92942397
LBN,"33.92026709335808, 35.88802723254408",33.92026709,35.88802723
LSO,"-29.581000352901032, 28.243011268944105",-29.58100035,28.24301127
LBR,"6.448091527343703, -9.307913832046882",6.448091527,-9.307913832
LBY,"27.043954186415704, 18.023286554786434",27.04395419,18.02328655
LIE,"47.15184890472742, 9.554268191533609",47.1518489,9.554268192
LTU,"55.3356704855903, 23.89812325011703",55.33567049,23.89812325
LUX,"49.77062957536392, 6.087813969032039",49.77062958,6.087813969
MKD,"41.599682312277054, 21.69747626732899",41.59968231,21.69747627
MDG,"-19.37338306850477, 46.70603866914809",-19.37338307,46.70603867
MWI,"-13.216021652612445, 34.307155310310215",-13.21602165,34.30715531
MYS,"3.7923669015472297, 109.7081944595275",3.792366902,109.7081945
MDV,"3.216335123203281, 73.25222658734783",3.216335123,73.25222659
MLI,"17.350279190913366, -3.5244225221770105",17.35027919,-3.524422522
MLT,"35.89052204833109, 14.441922648934293",35.89052205,14.44192265
MHL,"7.6432725720383585, 168.62692074653282",7.643272572,168.6269207
MRT,"20.259851310418068, -10.332297950013205",20.25985131,-10.33229795
MUS,"-20.251869017747172, 57.87073734512803",-20.25186902,57.87073735
MEX,"23.950463865568754, -102.53288549746281",23.95046387,-102.5328855
MNG,"46.835290642171856, 103.08321757782574",46.83529064,103.0832176
MNE,"42.791593248346096, 19.250304959550288",42.79159325,19.25030496
MAR,"31.88362495443742, -6.317845225561027",31.88362495,-6.317845226
MOZ,"-17.259323521694814, 35.55142191837771",-17.25932352,35.55142192
MMR,"21.154319005698042, 96.50692104674981",21.15431901,96.50692105
NAM,"-22.133246238490916, 17.218277596923286",-22.13324624,17.2182776
NRU,"-0.5287423564231192, 166.92312974733693",-0.528742356,166.9231297
NPL,"28.253007138564417, 83.93854780766698",28.25300714,83.93854781
NLD,"12.187804632403001, -68.69366926528983",12.18780463,-68.69366927
NZL,"-19.052309558871364, -169.86878139260543",-19.05230956,-169.8687814
NIC,"12.839905878385606, -85.03478332255999",12.83990588,-85.03478332
NER,"17.426148962247805, 9.397647758369725",17.42614896,9.397647758
NGA,"9.593959990531559, 8.105306311132345",9.593959991,8.105306311
NOR,"78.8286315537683, 18.3634675184936",78.82863155,18.36346752
OMN,"20.597694874039348, 56.111383108264526",20.59769487,56.11138311
PAK,"29.35790342663677, 68.79014364623956",29.35790343,68.79014365
PLW,"7.501882414132657, 134.56868687822998",7.501882414,134.5686869
PAN,"8.507186345684861, -80.10266194726975",8.507186346,-80.10266195
PNG,"-6.478767972968442, 145.2412167104673",-6.478767973,145.2412167
PRY,"-23.23621116210156, -58.39102352627807",-23.23621116,-58.39102353
PER,"-9.163759818255476, -74.37562774311924",-9.163759818,-74.37562774
PHL,"11.741832657610422, 122.87870839365924",11.74183266,122.8787084
BOL,"-16.71461009447613, -64.67093179110404",-16.71461009,-64.67093179
POL,"52.124610086565546, 19.400883854674174",52.12461009,19.40088385
PRT,"39.69190982231605, -7.962187190752776",39.69190982,-7.962187191
QAT,"25.297876440594464, 51.188069104527365",25.29787644,51.1880691
CMR,"5.685952200319196, 12.74359416002904",5.6859522,12.74359416
KOR,"36.37508873369244, 127.83477207667",36.37508873,127.8347721
MDA,"47.19386942309038, 28.47393086746524",47.19386942,28.47393087
SSD,"7.295765920550891, 30.3159635770886",7.295765921,30.31596358
SDN,"4.76497527908477, 35.1089535188704",4.764975279,35.10895352
ROU,"45.84361473342864, 24.96925875927503",45.84361473,24.96925876
RUS,"61.9494224376748, 96.5680544878298",61.94942244,96.56805449
RWA,"-1.9978920524416317, 29.91765225350001",-1.997892052,29.91765225
LCA,"13.897866017988024, -60.96871117138652",13.89786602,-60.96871117
WSM,"-13.758363800617, -172.15946443455022",-13.7583638,-172.1594644
STP,"0.4569785292666155, 6.736585755086851",0.456978529,6.736585755
SAU,"24.12288781941341, 44.54571894171099",24.12288782,44.54571894
SEN,"14.366965745226873, -14.467653621117616",14.36696575,-14.46765362
SRB,"44.031498418616394, 20.805271723235375",44.03149842,20.80527172
SYC,"-6.354369979634144, 52.229899400495455",-6.35436998,52.2298994
SLE,"8.560284889259204, -11.791921784497182",8.560284889,-11.79192178
SGP,"1.3516148228449165, 103.8080509453779",1.351614823,103.8080509
SVK,"48.70753128946242, 19.491653882276136",48.70753129,19.49165388
SVN,"46.123563763534, 14.82653748920358",46.12356376,14.82653749
SLB,"-8.918214065358004, 159.63431506050853",-8.918214065,159.6343151
SOM,"6.063723738463383, 45.86259041908098",6.063723738,45.86259042
ZAF,"-28.99320329296508, 25.088778010977098",-28.99320329,25.08877801
ESP,"40.22682992875567, -3.649564960428935",40.22682993,-3.64956496
LKA,"7.608085927014841, 80.70472658542131",7.608085927,80.70472659
KNA,"17.326191288189765, -62.753519776881106",17.32619129,-62.75351978
VCT,"13.254810824636843, -61.19376585175559",13.25481082,-61.19376585
SUR,"4.126394638258222, -55.91182643362298",4.126394638,-55.91182643
SWZ,"-26.562642190929807, 31.49752845618843",-26.56264219,31.49752846
SWE,"62.7898967841579, 16.739754033053558",62.78989678,16.73975403
CHE,"46.80256937605332, 8.234429172288662",46.80256938,8.234429172
SYR,"35.01313386115792, 38.50513206494866",35.01313386,38.50513206
TJK,"38.52817773320961, 71.04200446155443",38.52817773,71.04200446
THA,"15.127035821032173, 101.0173609470801",15.12703582,101.0173609
TLS,"-8.82297620855613, 125.85367517195874",-8.822976209,125.8536752
TGO,"8.534960452356943, 0.9757216793859798",8.534960452,0.975721679
TON,"-20.402920372982116, -174.83628627207617",-20.40292037,-174.8362863
TTO,"10.468641433558663, -61.253176819842295",10.46864143,-61.25317682
TUN,"34.110858592079836, 9.561335844988342",34.11085859,9.561335845
TUR,"39.06059534166282, 35.179671891830814",39.06059534,35.17967189
TKM,"39.21879264149987, 58.391315019284995",39.21879264,58.39131502
TUV,"-7.827722097631399, 178.5575513356263",-7.827722098,178.5575513
UGA,"1.2799634451787583, 32.38621827281175",1.279963445,32.38621827
UKR,"49.01708816412179, 31.387114773129007",49.01708816,31.38711477
ARE,"23.9031933433165, 54.34073373155668",23.90319334,54.34073373
GBR,"-54.48815096932706, -36.38236149455586",-54.48815097,-36.38236149
TZA,"-6.270353510063236, 34.82345393872192",-6.27035351,34.82345394
USA,"19.927635698781664, -75.14215540330257",19.9276357,-75.1421554
URY,"-32.799645341117, -56.01239637788298",-32.79964534,-56.01239638
UZB,"41.75044402910113, 63.169364370421164",41.75044403,63.16936437
VUT,"-16.255053044240533, 167.71814623979017",-16.25505304,167.7181462
VEN,"7.122448779792319, -66.16956396322298",7.12244878,-66.16956396
VNM,"16.659256404678835, 106.30147440858681",16.6592564,106.3014744
YEM,"15.9055165746462, 47.599591127371646",15.90551657,47.59959113
ZMB,"-13.45301862466974, 27.798249163484364",-13.45301862,27.79824916
ZWE,"-19.00009844179193, 29.871837767180068",-19.00009844,29.87183777
