Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499,36686784,35643418,34636207,33753499,32716210,31541209,30466479,29249157,28189672,27385307,26427199,25903301,25442944,24411191,23553551,22645130,21000256,19688632,19542982,19262847,18493132,17788819,17106595,16418912,15455555,14003760,12057433,10745167,10694796,10673168,10383460,10322758,10448442,10512221,10243686,9951449,10088289,11155195,12486631,12986369,12938862,12687301,12425267,12157386,11869879,11575305,11286753,11015857,10752971,10494489,10247780,10010030,9783147,9565147,9355514,9157465,8969047,8790140,8622466
Albania,ALB,"Population, total",SP.POP.TOTL,2854191,2866376,2873457,2876101,2880703,2889104,2895092,2900401,2905195,2913021,2927519,2947314,2970017,2992547,3011487,3026939,3039616,3051010,3060173,3089027,3108778,3128530,3148281,3168033,3187784,3207536,3227287,3247039,3266790,3286542,3227943,3142336,3083605,3022635,2964762,2904429,2843960,2784278,2726056,2671997,2617832,2566266,2513546,2458526,2404831,2350124,2296752,2243126,2187853,2135479,2081695,2022272,1965598,1914573,1864791,1814135,1762621,1711319,1659800,1608800
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368,41927007,41136546,40339329,39543154,38760168,38000626,37260563,36543541,35856344,35196037,34569592,33983827,33435080,32956690,32510186,32055883,31624696,31200985,30774621,30346083,29924668,29476031,28984634,28478022,27937006,27354327,26748303,26133905,25518074,24889507,24243018,23586101,22882553,22132905,21393530,20682111,20000096,19351357,18739378,18166981,17632645,17134192,16500516,15724692,15153602,14786469,14439748,14110271,13795915,13491016,13190975,12897115,12613389,12381256,12179099,11969451,11778260,11598608,11394307
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321,48424,49463,50448,51368,52217,52995,53691,54310,54849,55366,55891,56383,56837,57254,57626,57941,58177,58324,58230,57594,56603,55578,54500,53401,52288,51174,50078,48992,47818,46288,44532,42842,41221,39663,38168,36735,35367,34059,32886,32045,31428,30816,30198,29573,29012,28529,28063,27593,27075,26396,25608,24848,24122,23391,22656,21949,21272,20626,20085
Andorra,AND,"Population, total",SP.POP.TOTL,76343,75013,73837,72540,71746,71621,71367,71013,70567,71519,73852,76055,78168,80221,79826,76933,73907,70849,67820,66097,65655,65186,64682,64147,62928,61037,59156,57283,55434,53569,51639,49654,47635,45605,43809,42181,40432,38598,36987,35611,34142,32574,30949,29294,27640,26003,24393,22832,21322,19860,18449,17079,15745,14546,13563,12690,11839,11014,10216,9443
Angola,AGO,"Population, total",SP.POP.TOTL,32353588,31273533,30208628,29154746,28127721,27128337,26147002,25188292,24259111,23364185,22507674,21691522,20909684,20162340,19450959,18771125,18124342,17516139,16941587,16394062,15870753,15366864,14871146,14383350,13912253,13462031,13038270,12632507,12228691,11828638,11439498,11060261,10694057,10332574,9970621,9617702,9276707,8947152,8631457,8330047,8043218,7771590,7511895,7266780,7032713,6802494,6578230,6364731,6177049,6029700,5928386,5868203,5827503,5787044,5736582,5673199,5599827,5521400,5441333,5357195
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117,91626,91119,90564,89941,89236,88497,87674,86729,85695,84534,83251,82016,80895,79869,78941,78075,77195,76215,75055,73821,72572,71218,69798,68398,67072,65834,64659,63634,63328,63636,63982,64353,64712,65048,65362,65408,65231,65076,64889,64609,64329,64117,63990,64035,64218,64463,64695,64769,64517,63742,62658,61617,60615,59644,58664,57778,57008,56245,55342
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712,44494502,44044811,43590368,43131966,42669500,42202935,41733271,41261490,40788453,40684338,40273769,39876111,39476851,39070501,38668796,38278164,37885028,37480493,37070774,36653031,36233195,35815971,35389362,34946110,34488696,34027240,33568285,33105763,32637657,32165766,31690792,31216453,30748326,30287112,29832197,29377137,28922762,28471285,28024803,27584134,27146121,26713780,26290257,25875558,25449754,25020588,24612794,24223379,23842803,23472028,23112971,22757014,22403116,22053661,21708487,21364017,21020359,20680653,20349744
Armenia,ARM,"Population, total",SP.POP.TOTL,2820602,2836557,2851923,2865835,2878595,2889930,2901385,2914421,2928976,2946293,2964296,2983421,3004393,3026486,3047246,3065745,3084102,3105037,3133133,3168523,3206030,3240550,3271418,3298898,3322782,3373713,3457349,3574555,3617631,3556539,3448186,3366838,3351364,3327182,3300896,3272102,3238291,3202011,3167876,3135123,3097058,3038224,2965523,2896311,2830798,2767646,2706852,2648048,2590923,2534377,2476359,2416461,2355997,2295496,2234051,2171029,2106142,2039346,1971530,1904148
Aruba,ABW,"Population, total",SP.POP.TOTL,106442,105962,105439,104874,104257,103594,102880,102112,101288,100341,99212,97996,96787,95606,94483,93540,92701,91781,90691,89101,86867,84355,81858,79417,77050,74710,72360,70192,67864,65712,64596,64332,64450,64553,64478,64174,63683,63116,62614,62267,62006,61738,61465,61193,60715,60028,59365,58855,58816,59106,59330,59471,59522,59291,58782,58178,57475,56682,55811,54608
